# SASBDB entry SASDKC2: two titin I27 domains linked by GGG
# q_A^-1,intensity,uncertainty
# Every fourth deposited point through q = 0.30 A^-1; values are unmodified.
0.0278222,0.03252665,0.0001668731
0.02964658,0.03168725,0.0001605341
0.03147095,0.03055117,0.0001572592
0.03329531,0.02946945,0.0001472723
0.03511967,0.02827594,0.0001445245
0.03694401,0.02750278,0.0001390624
0.03876836,0.02594357,0.000132429
0.04059269,0.02531699,0.0001366962
0.04241701,0.02416866,0.0001351209
0.04424133,0.02318719,0.0001304064
0.04606564,0.02240446,0.0001302369
0.04788994,0.02144131,0.0001284614
0.04971423,0.02052861,0.0001234886
0.05153851,0.01938517,0.0001225956
0.05336277,0.01872654,0.0001215998
0.05518703,0.01821025,0.0001176959
0.05701128,0.01721094,0.0001162376
0.05883551,0.01654269,0.000113679
0.06065974,0.01596857,0.0001102198
0.06248395,0.01515965,0.0001102505
0.06430814,0.01456946,0.0001082388
0.06613233,0.01399772,0.0001058094
0.0679565,0.01350653,0.0001049135
0.06978066,0.01292652,0.0001027561
0.0716048,0.01250942,0.0001003641
0.07342893,0.01196111,0.0001000384
0.07525305,0.01168056,9.843295e-05
0.07707714,0.01118499,9.624162e-05
0.07890123,0.01054321,9.952739e-05
0.0807253,0.0101632,9.990466e-05
0.08254935,0.009848795,0.0001008059
0.08437338,0.009543451,0.0001023399
0.0861974,0.009049421,0.000102078
0.0880214,0.008979687,9.656061e-05
0.08984538,0.008595018,9.426321e-05
0.09166934,0.008322318,9.14595e-05
0.09349329,0.008081225,8.984787e-05
0.09531722,0.007733912,8.919051e-05
0.09714112,0.007599442,8.726476e-05
0.09896501,0.007266731,8.641497e-05
0.1007889,0.0070869,8.518178e-05
0.1026127,0.006851446,8.386926e-05
0.1044366,0.006657123,8.278862e-05
0.1062604,0.006521851,8.677912e-05
0.1080841,0.006192423,8.309679e-05
0.1099079,0.006095266,8.219429e-05
0.1117316,0.005814272,8.071705e-05
0.1135554,0.005929251,7.955534e-05
0.1153791,0.005546509,7.792636e-05
0.1172027,0.005419782,7.719123e-05
0.1190264,0.005287045,7.595045e-05
0.12085,0.004989236,7.593495e-05
0.1226736,0.005025863,7.510314e-05
0.1244972,0.00470603,7.372936e-05
0.1263207,0.004573551,7.373422e-05
0.1281442,0.004414467,7.259939e-05
0.1299677,0.004310891,7.157706e-05
0.1317912,0.004252757,7.475519e-05
0.1336146,0.004172475,7.52957e-05
0.1354381,0.003979921,7.488101e-05
0.1372615,0.003900616,7.597395e-05
0.1390848,0.00377605,7.517978e-05
0.1409081,0.003616865,7.425309e-05
0.1427315,0.003598352,7.576445e-05
0.1445547,0.003404292,7.414701e-05
0.146378,0.00333507,7.419844e-05
0.1482012,0.003386879,7.468312e-05
0.1500244,0.002973253,7.312249e-05
0.1518475,0.003160215,7.348058e-05
0.1536707,0.002985261,7.342862e-05
0.1554938,0.002852067,7.178236e-05
0.1573168,0.002814595,7.233327e-05
0.1591399,0.002777067,7.190423e-05
0.1609629,0.002698078,7.10039e-05
0.1627858,0.002499065,7.087151e-05
0.1646088,0.002370751,7.06914e-05
0.1664317,0.002384483,6.979726e-05
0.1682545,0.002210023,7.001461e-05
0.1700774,0.002226976,6.996671e-05
0.1719002,0.002251508,6.912373e-05
0.1737229,0.002213996,6.96637e-05
0.1755456,0.00194788,6.889851e-05
0.1773683,0.001901219,6.811835e-05
0.179191,0.001795214,6.856173e-05
0.1810136,0.001834292,6.843851e-05
0.1828362,0.001792841,6.761123e-05
0.1846588,0.001758798,6.81755e-05
0.1864813,0.001846239,6.779125e-05
0.1883037,0.001677731,6.71457e-05
0.1901262,0.001537541,6.711587e-05
0.1919486,0.001409547,6.644657e-05
0.1937709,0.001466901,6.616894e-05
0.1955932,0.001344102,6.633825e-05
0.1974155,0.001360613,6.581944e-05
0.1992378,0.001216442,6.548721e-05
0.20106,0.001396736,6.577593e-05
0.2028821,0.001227497,6.49276e-05
0.2047042,0.001087402,6.746228e-05
0.2065263,0.001200247,7.01572e-05
0.2083483,0.001106134,7.069738e-05
0.2101703,0.001176457,7.27022e-05
0.2119923,0.001029502,7.376146e-05
0.2138142,0.001009604,6.97357e-05
0.2156361,0.00099934,6.899186e-05
0.2174579,0.001003509,6.827993e-05
0.2192797,0.0009594419,6.726019e-05
0.2211014,0.0009986287,6.719679e-05
0.2229231,0.0008967729,6.628773e-05
0.2247447,0.0007548816,6.55449e-05
0.2265663,0.0007295552,6.555745e-05
0.2283879,0.0007537787,6.520475e-05
0.2302094,0.0007843938,6.443217e-05
0.2320308,0.0008956398,6.486901e-05
0.2338522,0.000561417,6.391906e-05
0.2356736,0.0006336222,6.34635e-05
0.2374949,0.0007282554,6.390085e-05
0.2393162,0.0006412982,6.315683e-05
0.2411374,0.0006158864,6.293211e-05
0.2429586,0.0006420161,6.308859e-05
0.2447797,0.0005667162,6.21199e-05
0.2466008,0.0005850585,6.181927e-05
0.2484218,0.0005657616,6.140115e-05
0.2502428,0.000572213,6.126497e-05
0.2520637,0.0004762405,6.073409e-05
0.2538846,0.0004016399,6.079822e-05
0.2557054,0.0004174985,6.037317e-05
0.2575261,0.0004739734,6.015982e-05
0.2593469,0.0004894789,6.015642e-05
0.2611675,0.0003440353,5.980825e-05
0.2629881,0.0004851037,5.968794e-05
0.2648087,0.0003920216,5.960357e-05
0.2666292,0.0004504752,5.904458e-05
0.2684497,0.000389641,5.916678e-05
0.27027,0.0003144606,5.874751e-05
0.2720904,0.0003943811,5.868831e-05
0.2739107,0.0004014165,5.873512e-05
0.2757309,0.0004539526,5.870304e-05
0.2775511,0.0002948215,5.840865e-05
0.2793712,0.0004041779,5.841394e-05
0.2811913,0.0004182136,5.819642e-05
0.2830113,0.0004529362,5.799896e-05
0.2848312,0.0003246939,5.79019e-05
0.2866511,0.0004572768,5.77843e-05
0.288471,0.0003016153,5.744599e-05
0.2902907,0.0002991319,5.740317e-05
0.2921105,0.0003788525,5.710411e-05
0.2939301,0.0003995065,5.730164e-05
0.2957497,0.0004112259,5.698479e-05
0.2975693,0.0003299821,5.660464e-05
0.2993887,0.00031219,5.646684e-05
