# Derived from SasView/sasdata AOT_Microemulsion-Core_Contrast.xml
# Copyright (c) 2009-2026, SasView Developers; BSD-3-Clause; see SASDATA-LICENSE.txt
q_A^-1,intensity_cm^-1,uncertainty_cm^-1
0.009,8.66097,0.678276
0.011,9.07765,0.415207
0.013,8.74335,0.33303
0.015,8.97573,0.266251
0.017,8.01969,0.229252
0.019,8.50362,0.207062
0.021,8.21644,0.187379
0.023,8.5445,0.17513
0.025,8.25839,0.163151
0.027,8.385,0.156304
0.029,8.19833,0.14797
0.031,8.174,0.143222
0.033,8.10893,0.138323
0.035,7.90257,0.133951
0.037,7.92779,0.13133
0.039,7.77999,0.126702
0.041,7.55967,0.123018
0.043,7.73146,0.120643
0.045,7.64145,0.117301
0.047,7.43904,0.113626
0.049,7.26281,0.110662
0.051,7.10242,0.107456
0.053,6.98253,0.105039
0.055,6.83064,0.103433
0.057,6.53401,0.100548
0.059,6.27756,0.0989847
0.061,6.01229,0.0968156
0.063,5.99131,0.095656
0.065,5.59393,0.0937742
0.067,5.51664,0.0925144
0.069,5.19822,0.0908407
0.071,4.69725,0.0888284
0.073,4.52997,0.0873638
0.075,4.36966,0.0868543
0.077,4.01681,0.085489
0.079,3.84049,0.0837383
0.081,3.5466,0.0834827
0.083,3.37086,0.0826536
0.085,3.1624,0.0812838
0.087,3.06238,0.0807788
0.089,2.76881,0.079466
0.091,2.56018,0.0768171
0.093,2.29906,0.0760352
0.095,2.28571,0.0758398
0.097,1.97973,0.0727553
0.099,1.91372,0.0721901
0.101,1.72878,0.0718478
0.103,1.63685,0.069903
0.105,1.45134,0.0699271
0.107,1.43389,0.0696514
0.109,1.29589,0.0676085
0.111,1.09998,0.06646
0.113,1.0428,0.0660002
0.115,0.844519,0.065734
0.117,0.85536,0.0646517
0.119,0.739303,0.0656619
0.121,0.631377,0.0647612
0.123,0.559972,0.0637924
0.125,0.633137,0.0642538
0.127,0.52837,0.0629895
0.129,0.486401,0.0639606
0.131,0.502888,0.0637953
0.133,0.461518,0.0652337
0.135,0.33547,0.0649452
0.137,0.331639,0.0641606
0.139,0.349024,0.0647814
0.141,0.249295,0.0651144
0.143,0.297506,0.0648872
0.145,0.251353,0.0646956
0.147,0.236603,0.0653164
0.149,0.278925,0.0663626
0.151,0.16754,0.0658608
0.153,0.212138,0.0679627
0.155,0.123197,0.0683039
0.157,0.151296,0.0692465
0.159,0.145861,0.0684029
0.161,0.107422,0.0707
0.163,0.160706,0.0705329
0.165,0.10401,0.0710867
0.167,0.0695233,0.0731431
0.169,0.0858619,0.0735345
0.171,0.0557327,0.0754963
0.173,0.185915,0.0760707
0.175,0.0549312,0.0753411
0.177,0.0743549,0.0797642
0.179,0.0841899,0.0805604
0.181,0.0192474,0.0829111
0.183,0.175221,0.0832278
0.185,0.0693162,0.0839577
0.187,0.00162097,0.0854591
0.189,0.220803,0.0887341
0.191,0.0846662,0.0923975
0.193,0.0384855,0.0915219
0.195,0.0520236,0.0950556
0.197,0.0679774,0.0976872
0.199,-0.0879282,0.0995643
0.201,0.00403708,0.0999596
0.203,-0.00827498,0.105209
0.205,-0.00896538,0.10344
0.207,0.0221027,0.111867
0.209,-0.0835404,0.116788
0.211,-0.0781585,0.114219
0.213,0.0794712,0.122584
0.215,-0.0727371,0.126881
0.217,0.098657,0.131794
0.219,0.0987721,0.130641
0.221,0.122134,0.139389
0.223,-0.030629,0.141378
0.225,0.0393085,0.149533
0.227,-0.0782109,0.153647
0.229,0.0317806,0.1576
0.231,0.029647,0.163981
0.233,-0.0138577,0.179607
0.235,-0.188901,0.169998
0.237,0.0535632,0.182096
0.239,-0.0459497,0.19544
0.241,0.113408,0.208226
0.243,0.220107,0.20631
0.245,-0.118426,0.211599
0.247,-0.141306,0.261127
0.249,0.016238,0.248377
0.251,0.113952,0.268117
0.253,0.0471965,0.248487
0.255,-0.0771868,0.30063
0.257,-0.493606,0.311092
0.259,-0.15584,0.307792
0.261,0.21327,0.346191
0.263,-0.407363,0.433197
0.265,-0.280523,0.425931
0.267,-0.466429,0.432325
0.269,-0.530037,0.415476
0.271,-0.478568,0.458327
0.273,0.128986,0.501942
0.275,-0.291653,0.526654
0.277,1.73235,0.671965
0.279,-0.896776,0.605943
0.281,-0.75682,0.772724
