# Derived from SasView/sasdata AOT_Microemulsion-Drop_Contrast.xml
# Copyright (c) 2009-2026, SasView Developers; BSD-3-Clause; see SASDATA-LICENSE.txt
q_A^-1,intensity_cm^-1,uncertainty_cm^-1
0.009,32.086,0.550487
0.011,31.7904,0.370391
0.013,32.2141,0.317236
0.015,31.7033,0.263118
0.017,31.9587,0.23408
0.019,30.7445,0.2075
0.021,30.1795,0.191054
0.023,29.9222,0.176051
0.025,29.6079,0.166403
0.027,29.304,0.157233
0.029,28.8736,0.149979
0.031,28.4022,0.144155
0.033,27.896,0.138464
0.035,27.2552,0.132992
0.037,26.3419,0.127736
0.039,26.0056,0.123205
0.041,25.2046,0.118851
0.043,24.5101,0.114513
0.045,23.9106,0.110469
0.047,23.1582,0.10687
0.049,22.3059,0.102865
0.051,21.2887,0.0985442
0.053,20.1759,0.0947745
0.055,19.5095,0.0921571
0.057,18.512,0.0888591
0.059,17.3861,0.0855785
0.061,16.6201,0.0833705
0.063,15.5512,0.0800461
0.065,14.5958,0.0777443
0.067,13.7455,0.0751355
0.069,12.6525,0.0720834
0.071,11.6374,0.0693928
0.073,10.7698,0.0668477
0.075,9.92319,0.0646534
0.077,9.1285,0.0625506
0.079,8.33225,0.0599852
0.081,7.61475,0.0579489
0.083,6.89596,0.0558078
0.085,6.20446,0.0532208
0.087,5.53789,0.0510034
0.089,5.0141,0.049039
0.091,4.45833,0.0462125
0.093,3.98627,0.0442127
0.095,3.62568,0.0424179
0.097,3.19289,0.0399957
0.099,2.90853,0.0383083
0.101,2.60771,0.0365278
0.103,2.28578,0.0347718
0.105,2.02269,0.0331773
0.107,1.75613,0.0313155
0.109,1.57835,0.0303337
0.111,1.33478,0.0283246
0.113,1.20713,0.0270836
0.115,1.064,0.0261186
0.117,0.973735,0.025131
0.119,0.890729,0.0242975
0.121,0.799774,0.0231454
0.123,0.724677,0.0228263
0.125,0.686477,0.0224435
0.127,0.612348,0.0220025
0.129,0.5551,0.021637
0.131,0.506671,0.0209475
0.133,0.493514,0.0207591
0.135,0.437456,0.0203233
0.137,0.409881,0.0203361
0.139,0.406316,0.0205388
0.141,0.408695,0.020441
0.143,0.358324,0.0200168
0.145,0.386671,0.0206385
0.147,0.352634,0.0208148
0.149,0.344334,0.0210775
0.151,0.330763,0.020604
0.153,0.304146,0.0205657
0.155,0.324604,0.0214766
0.157,0.31921,0.0209359
0.159,0.299573,0.0209303
0.161,0.289969,0.020963
0.163,0.317198,0.0220294
0.165,0.264981,0.0217537
0.167,0.274985,0.0215454
0.169,0.274518,0.021539
0.171,0.222446,0.0222608
0.173,0.209517,0.0209545
0.175,0.249721,0.0230321
0.177,0.238662,0.0229368
0.179,0.198343,0.0222486
0.181,0.20461,0.0237103
0.183,0.195424,0.0235426
0.185,0.193592,0.0235067
0.187,0.208961,0.0252868
0.189,0.152998,0.0229839
0.191,0.217988,0.0255591
0.193,0.170392,0.0239966
0.195,0.139891,0.0253545
0.197,0.159763,0.0273015
0.199,0.163807,0.0247936
0.201,0.138105,0.0266297
0.203,0.146546,0.0282095
0.205,0.123498,0.0281668
0.207,0.132342,0.0292918
0.209,0.169258,0.0302485
0.211,0.109419,0.0302972
0.213,0.0707513,0.0308171
0.215,0.180122,0.0316068
0.217,0.116505,0.035421
0.219,0.0870414,0.0335996
0.221,0.0837619,0.0356956
0.223,0.188158,0.0392135
0.225,0.113497,0.042967
0.227,0.0838193,0.0377279
0.229,0.156608,0.0399376
0.231,0.13092,0.044292
0.233,0.0219661,0.0483018
0.235,0.116158,0.0417261
0.237,0.123232,0.0469973
0.239,0.148705,0.0483656
0.241,0.0690961,0.0573804
0.243,0.116441,0.0540813
0.245,0.0917675,0.048422
0.247,0.114189,0.0609666
0.249,0.20683,0.0623327
0.251,0.139618,0.0664232
0.253,0.0527192,0.0557902
0.255,0.195377,0.067794
0.257,0.216124,0.0889019
0.259,0.275522,0.0970786
0.261,0.0278202,0.0779807
0.263,0.035347,0.0961857
0.265,0.109167,0.103102
0.267,0.149596,0.09505
0.269,0.135715,0.112906
0.271,-0.0698053,0.0999573
0.273,0.14623,0.11123
0.275,0.186803,0.185457
0.277,0.100765,0.148454
0.279,-0.522519,0.220894
0.281,0,0
