# Derived from SasView/sasdata AOT_Microemulsion-Shell_Contrast.xml
# Copyright (c) 2009-2026, SasView Developers; BSD-3-Clause; see SASDATA-LICENSE.txt
q_A^-1,intensity_cm^-1,uncertainty_cm^-1
0.009,11.0942,0.339606
0.011,10.6959,0.218483
0.013,10.8797,0.183705
0.015,10.4098,0.148323
0.017,10.2331,0.129311
0.019,10.067,0.115781
0.021,9.90601,0.106889
0.023,9.86426,0.0985297
0.025,9.54441,0.0922237
0.027,9.22378,0.0860153
0.029,8.81492,0.080942
0.031,8.55663,0.0772041
0.033,8.44812,0.0745062
0.035,8.16927,0.0711343
0.037,7.85345,0.0680813
0.039,7.60025,0.0651401
0.041,7.27166,0.0624757
0.043,6.81321,0.0592694
0.045,6.52884,0.0566283
0.047,6.14142,0.0540666
0.049,5.70854,0.051194
0.051,5.30389,0.0486098
0.053,5.04971,0.0467439
0.055,4.71406,0.0447858
0.057,4.32157,0.0425666
0.059,3.96673,0.0406575
0.061,3.61326,0.0388046
0.063,3.26263,0.0367593
0.065,2.88802,0.0349593
0.067,2.60658,0.0331775
0.069,2.33604,0.0315869
0.071,2.02418,0.0297588
0.073,1.80139,0.0281891
0.075,1.55554,0.026814
0.077,1.40411,0.0257852
0.079,1.1869,0.0242065
0.081,1.04639,0.0233165
0.083,0.892583,0.0219527
0.085,0.784819,0.0212252
0.087,0.687492,0.0202672
0.089,0.595656,0.0196179
0.091,0.495111,0.0184561
0.093,0.462209,0.0182661
0.095,0.390856,0.0173142
0.097,0.348122,0.0170132
0.099,0.335959,0.016661
0.101,0.311647,0.0162202
0.103,0.299549,0.0163592
0.105,0.31685,0.0166876
0.107,0.300702,0.0165689
0.109,0.29566,0.0168402
0.111,0.300083,0.0168808
0.113,0.317185,0.0168091
0.115,0.309433,0.0171762
0.117,0.304317,0.0168488
0.119,0.356452,0.0175118
0.121,0.342382,0.0170336
0.123,0.351861,0.0178184
0.125,0.362826,0.0179779
0.127,0.392962,0.0188751
0.129,0.378558,0.0190058
0.131,0.382364,0.0189782
0.133,0.386486,0.0189784
0.135,0.389653,0.0193932
0.137,0.357223,0.019339
0.139,0.377392,0.0198908
0.141,0.40288,0.0201434
0.143,0.358328,0.0198225
0.145,0.397471,0.0206098
0.147,0.358577,0.0207206
0.149,0.327401,0.0206102
0.151,0.335911,0.0205106
0.153,0.35106,0.0212052
0.155,0.313055,0.0210919
0.157,0.334996,0.0210483
0.159,0.277333,0.0203444
0.161,0.264302,0.0203003
0.163,0.292752,0.0213832
0.165,0.244408,0.0211875
0.167,0.269026,0.021261
0.169,0.250665,0.0208686
0.171,0.206398,0.0217612
0.173,0.213354,0.0208998
0.175,0.186113,0.0214264
0.177,0.203869,0.0219578
0.179,0.191682,0.0219447
0.181,0.210336,0.0237007
0.183,0.167795,0.0226941
0.185,0.232165,0.0243521
0.187,0.16847,0.0240796
0.189,0.17133,0.0233854
0.191,0.163133,0.0238359
0.193,0.180442,0.0241686
0.195,0.158701,0.0257954
0.197,0.153974,0.0269838
0.199,0.157249,0.0244352
0.201,0.11095,0.0255574
0.203,0.115796,0.0269955
0.205,0.113714,0.0276806
0.207,0.121853,0.0287511
0.209,0.143962,0.0291307
0.211,0.120327,0.0305996
0.213,0.0754474,0.0308804
0.215,0.168701,0.0309352
0.217,0.0964242,0.0343969
0.219,0.112044,0.034608
0.221,0.0935971,0.0360087
0.223,0.145395,0.0368864
0.225,0.0727016,0.0408004
0.227,0.109098,0.0389713
0.229,0.137725,0.0386214
0.231,0.13037,0.0440614
0.233,0.0700196,0.050833
0.235,0.104835,0.0407441
0.237,0.087112,0.044251
0.239,0.144584,0.0478488
0.241,0.0733499,0.0574657
0.243,0.114662,0.0537315
0.245,0.122286,0.0509511
0.247,0.154997,0.0642956
0.249,0.180717,0.0596011
0.251,0.123093,0.064686
0.253,0.0878995,0.059516
0.255,0.138841,0.0599831
0.257,0.084913,0.0743158
0.259,0.183758,0.087625
0.261,0.0865323,0.084597
0.263,0.0806687,0.101405
0.265,0.0662451,0.0960403
0.267,0.110617,0.0870034
0.269,0.15632,0.115756
0.271,0.19254,0.141957
0.273,0.0848264,0.0923546
0.275,-0.141323,0.102171
0.277,0.0370445,0.128836
0.279,-0.394634,0.246415
0.281,0.00840471,0.0312871
